length,width,height,x,y,z,weight,order
240,80,100,0,0,0,0,0
199,79,99,0,0,0,0,0
18,58,36,0,0,0,2,4
27,51,66,48,0,0,2,3
54,67,23,96,0,0,2,1
14,20,39,151,0,0,2,1
5,24,32,191,0,0,2,0
15,23,32,151,20,0,2,1
10,29,44,26,41,0,2,3
42,33,63,154,43,0,2,0
26,17,47,0,58,0,2,4
21,32,40,75,0,0,1,3
56,27,40,36,51,0,1,3
45,7,24,92,67,0,1,2
19,17,39,75,32,0,1,2
23,39,8,18,0,0,1,4
30,41,42,18,0,8,1,4
20,49,13,117,0,23,0,1
14,33,24,137,0,23,0,1
33,25,19,100,51,24,1,1
21,49,11,96,0,23,1,2
25,42,25,166,0,0,1,0
10,30,42,144,47,23,0,1
34,51,63,100,0,36,1,2
25,59,59,75,0,40,1,3
44,25,56,100,51,43,0,2
34,19,15,62,59,40,0,2
14,47,24,134,0,47,0,1
38,21,10,24,56,47,1,3
49,35,22,148,0,47,1,0
24,66,46,0,0,50,1,4
10,27,43,24,29,50,1,4
12,18,41,73,59,55,1,2
12,19,40,24,56,57,1,4
20,13,40,0,66,47,1,4
19,29,39,24,0,50,0,4
27,19,37,46,51,57,0,3
22,39,33,43,0,66,1,3
55,61,27,144,0,71,1,0
9,42,25,65,0,66,0,3
10,37,25,36,39,57,1,4
50,18,12,144,61,65,1,0
