length,width,height,x,y,z,weight,order
200,140,130,0,0,0,0,0
110,139,129,0,0,0,0,0
14,48,34,0,0,0,2,3
45,42,51,60,0,0,2,1
23,46,30,69,42,0,2,1
5,52,16,100,42,0,2,1
26,30,38,31,44,0,2,2
12,25,37,57,44,0,2,2
6,23,38,0,48,0,2,4
8,17,56,92,70,0,2,0
30,57,30,0,74,0,2,3
14,39,15,63,88,0,2,1
22,45,19,77,88,0,2,0
21,7,45,56,127,0,2,2
27,44,32,33,0,0,1,2
33,46,30,30,74,0,0,2
21,11,30,30,120,0,0,3
15,30,48,16,44,0,1,3
19,44,18,14,0,0,0,3
29,39,45,78,100,19,0,1
5,28,57,92,42,0,0,0
36,44,43,16,0,32,0,3
41,57,46,15,74,30,1,3
44,5,21,56,87,30,0,1
16,31,38,0,35,38,0,4
42,25,21,31,44,38,0,2
15,47,16,0,66,38,0,3
14,28,36,73,42,30,1,1
16,35,37,0,0,34,1,4
18,42,12,52,0,51,0,0
15,63,26,0,74,54,0,4
23,30,40,78,70,56,0,0
34,26,70,25,44,59,0,2
22,58,26,56,70,51,0,2
45,42,21,52,0,63,0,1
59,8,23,15,131,45,0,0
15,29,24,78,100,64,0,0
25,35,53,0,39,76,0,4
14,41,48,33,0,75,0,3
21,30,46,0,74,80,0,4
51,31,44,59,38,84,0,1
17,31,43,72,0,84,0,0
17,25,43,0,104,80,0,3
30,44,42,38,70,77,1,2
17,50,42,21,74,76,1,3
25,38,41,47,0,84,1,2
33,39,40,0,0,76,0,4
30,21,39,48,114,77,1,2
48,10,35,0,129,80,0,3
42,44,31,68,69,96,0,1
24,20,12,78,113,88,0,1
22,20,12,78,113,100,0,0
